		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
gene_2274570	tetM	5961	7945	13764	1	1	1	1	27633	1	1	1	1	14668	1	41474	1	10446	16372	1	16673	1	9033	1	1	1	1	1	1	52943	1	32373	26959	1	26891	13943	10186	72848	1	1	12271	10744	59358	1	1	64079	45891	18687	9300	1	1	49823	50928	1	1	81061	16016	14489	1	9716	1	8187	23344	1	1	1	1	1	1	65569	1	1	7297	1	1	1	1	1	1	1	1	1	1	1	1	1	36968	1	11833	9526	1	1	1
gene_2276827	poxtA	51154	60249	5494	277698	349490	20331	21218	11029	7065	2851	92242	80815	43908	179242	82767	279612	187624	22870	1	29946	14225	9013	44371	8477	238086	56917	187524	1	5283	161611	86139	12553	107264	177093	61216	97574	96917	76263	22875	2449	2144	108303	43931	2830	31056	24422	3729	116918	49464	184285	9943	2541	137630	8701	87816	6392	5783	2179	1939	4392	1	1	1	2002	1	1	1	1	1	1	44115	8737	1	18348	1	15733	3913	6259	1	2004	35901	1	11193	20305	1	16599	30932	59037	1	1	4329	13196
gene_228707	poxtA	1	1322	1	1	1	1	2948	1	1963	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8464	2616	1	1	1	1	1547	1	1	1	1	1	1	1	2664	1	1	1	1	5448	15534	10696	13354	3180	1	12006	1	9090	4809	14710	14566	19539	11472	16404	16394	1	17393	1	6683	1	5048	4665	3762	1	6150	1	13780	1	18789	18045	11000
gene_2294450	H-NS	7862	1	1	1	1	1	1	9111	1	18839	13855	1	1	1	1	1	1	1	13717	1	1	17870	1	18674	17679	1	1	1	1	11125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6094	1	1	1	1	1	1
gene_2297041	aadA3	2840	1	1	1	1	1	1	1	1	1	1	11349	6989	1	1	1	1	15600	1	1	1	8607	1	20238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10238	1	1	1	1	1	1	4431	1	1	5934	6066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3476	1	1	5220	1	1	1	1	1	1	1	1	16159	1	8807	1	1	4539	1	1	1
gene_2297042	CARB-3	1	1	1	1	1	1	1	1	1	1	1	1	21882	1	1	1	12467	24423	1	1	1	16171	3685	12674	1	1	1	1	1	1	3220	1	1	1	24961	1	1	1	1	3661	6411	1	1	1	1	1	2788	5549	1	1	3716	1	1	1	1	1	1	1	1	1	2443	3482	2740	1	2851	3835	3589	1	9782	1	1	1	1	1	4903	1	1	1	1	1	1	1	2789	20239	1	11030	1	3531	1	7488	1	1
gene_2297043	dfrA16	1	1	1	1	1	1	1	1	1	8496	1	14168	26173	1	6167	1	6213	1	1	1	1	10745	14694	42108	1	4712	1	1	7872	1	1	1	1	15994	1	1	1	1	1	7298	1	1	28057	1	1	1	1	5531	1	1	7408	1	1	5186	1	1	1	1	5779	6545	1	1	5463	1	1	1	1	1	1	1	1	1	9979	1	6516	1	1	1	1	1	1	1	5560	20172	1	27484	1	1	1	7464	1	5618
gene_2300865	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5411	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11119	4529	1782	9734	5563	1	9336	12720	10602	5609	8578	24068	13022	1	3189	1	3805	4057	1567	1	1	1963	3628	1	3647	5380	8593	1	14787	19479	10523	7331
gene_2306934	poxtA	4992	8871	1	1	5432	1	1	1	1	1	1	1	1	1	1	1	2916	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3892	1	98285	5080	1	3425	1	2367	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19549	1	25207	8003	10763	30219	4575	12202	1	1	14257	1	6416	1	22007	1	17510	11270	36445	26783	2824	13047	31558	1	59336	105077	16516	10636	10509	48445	15821
gene_2351165	mdtC	3374	1	1	1	2202	1	1	1	1	1	1	2696	1	1	1	1	1	1	1	1	1	1	1	1603	1	1	1	1	1498	1	1	1	1	1	1	1	2748	1	1	1	1	4799	1	1	1	1	1	1053	1	1	81768	1441	1	1	1	3625	1	1	1	1245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1058	1280	1	1	1	1	1	1	1	1
gene_2354785	vanI	4584	1	7057	13090	1	16322	4542	1	84695	1	1	1	1	5417	2658	1	1	1	5332	4274	1	2316	3166	1	1	40617	23871	1	1	1	2766	11518	11247	6893	3574	5222	6225	1	3673	31454	11016	6521	32245	32720	1	1	2395	21455	3177	58209	1	3264	1	1	1	8211	7428	1	1	1	14690	20944	21189	25720	22047	19768	9250	6302	47622	1	1	7482	21504	1	12638	10104	10054	29480	8279	2574	1	2593	14377	8694	1	4738	1	3033	7326	6434	11122	7264
gene_2424834	poxtA	2055	1	1	1	1	1	1	4762	4067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13904	1	3511	20925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16093	1	6917	32941	22152	33169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2429941	mdtO	7676	1705	1	1	1	1	1	5931	1	1	2255	1	6296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2606	1	1	1	1	1	1	1	1	1	1	1	1	1	106932	1	1	1	1	6875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2426	1	1	1	1	1	1	1	1
gene_2429942	mdtN	1733	1	1	1	1	1	1	12051	1	1	1	6926	1	1	1	1	1	1	1	1	1	2626	1	1	1	1	1	1	3848	1	1	1	1	1	1	1	1	1	1	1	1	1	4572	1	1	1	1	1	1	1	61563	1	1	1	3367	13969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9861	1	1	1	1	1	1	1	1
gene_2437450	PmrF	4977	1	1	1	1	1	1	1	1	1	1	6629	8164	1	1	1	1	9112	1	1	8501	12569	1	23642	3730	1	1	1	40517	18781	1	1	1	1	1	1	1	1	1	1	1	2360	4376	1	1	1	1	1	1	1	6933	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2440403	tetO	3369	1	1	1	1	1	30047	7809	1	1	1	1	1	1	5861	4889	1	1	1	1	11511	15317	1	8003	1	4478	1	1	104735	1	30496	66029	49601	37998	7881	92120	48037	41143	8099	110969	1	1	8888	1	1	1	26405	5256	1	1	1	28785	1	9857	1	18105	8189	6170	1	1	1	1	1	5671	16205	1	1	9264	1	1	1	1	1	38976	1	11140	1	11819	9128	11353	6779	5717	5284	12780	10624	20895	25031	6688	10769	1	1	1
gene_244983	poxtA	1	1	1	1	1	2150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2263	30764	31444	1	1	1	1	4551	1	1	1	1	1	1	1	1	1	1432	1	1	1	1	1577	1	20923	1	1	1	1	8833	1	10816	1	1	1	1	24879	1	12405	6776	4840	4340	12185	16602	1	17082	1	3696	14163	1	4624	16638	4966	1765	23175	6782	2025	5123	20517	26722	41255	42129	33646	35961	24124	16949	20144	73361
gene_2450025	Escherichia coli ampC1 beta-lactamase	256167	115477	60889	1	209047	8048	11198	323052	22371	198591	232352	556987	185391	6678	117943	10931	33008	558679	341789	221270	45046	154128	46836	536874	25414	75099	32099	538373	133828	287870	1	1	1	1	1	1	1	1	1	1	1	10717	1	1	1	1	1	17631	1	1	78714	1	1	1	1	1	9156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14526	3462	1	1	1	1	1	1	1	1	7144	1	1	1	1	1	1	1	1
gene_2464048	mdtM	252920	69741	132909	7471	182199	22358	5185	380015	6906	183905	224390	250927	137345	15460	112254	7592	48907	340118	194777	68302	56613	163874	61445	261014	31379	74181	29725	498557	127804	172784	1	2629	1	1	1	1	10658	1	1	1	3144	2481	1	4150	1	8952	1	10884	1	1	102049	3725	1	1	6777	14059	1	12777	1	1	2395	1	2687	1	1	1	1	2398	15988	1	1	2135	19637	1	1603	11534	5738	1	1	1	1	1	2735	19848	11000	21634	1	1	8362	1	3174	1
gene_2480041	baeS	16691	8898	7708	1	49036	1	4962	23211	1	23998	11766	20010	61607	2959	14516	2422	17550	82513	64070	18674	2851	50586	20752	39646	1	17746	4741	1	14824	28344	1	2516	3071	7530	7808	1	23797	1	1	3436	15042	4749	8805	1	2563	25699	1	15623	1	1	156943	7130	8982	2442	6485	1	32455	15283	1	12324	1	3268	1	1	1	3599	1	1	6120	4047	1	2043	14094	1	9203	1	2745	1	1	1	1	1	13087	85469	10526	38816	6200	6627	5335	1	12149	1
gene_2480668	baeR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2480669	baeS	3477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3183	1	1	1980	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4722	1	1	1	1	1	1	1	1	2974	1	1	2410	1	62971	1	1	10173	1	3114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2484922	emrY	141698	67648	53716	4529	165684	36144	1	191166	14652	111490	160259	240859	169129	13121	69892	10740	50033	304932	147601	130137	32514	121780	50397	293868	11889	61836	24027	755611	162003	239424	1	6376	1946	4770	7420	1807	12922	1	1	4353	1906	10529	5579	1	1624	13568	4972	14847	6595	8056	446320	4517	14225	3094	6163	11364	1	15492	10341	27327	1452	2070	8146	1	1695	4560	1	1454	15508	10256	1	1294	11905	1	11660	3496	1	1855	1432	1782	1	1794	36480	110300	3334	40985	1	8396	11829	2226	11545	1676
gene_2489866	efrB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31346	1	1	1	1	1	1	1	1	55167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2494385	Erm(43)	6670	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4007	1	1	1	6828	1	1	1	1	1	9291	4748	1	13008	17275	17919	43229	12214	21741	1	1	1	1	1	1	1	1	1	1	1	1	2721	1	1	2043	1	3657	1	1	1	1	1	1	1	1	1	1	1	1	4680	1	3523
gene_250551	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17868	1	1	1	1	2158	1	174734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2509600	sul1	5833	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10559	1	7156	1	9096	3322	1	5935	4673	4002	3504	1	1	9252	2986	9979	1	1	1	1	4063	1	1	2844	1	5224	1	1	3169	1	1	1	1	1	1	1	3923	10691	10693	1	1	1	1	1	1	1	1	1	5267	1	3912	1	1	1	1	1	1	1	1	1	3538	9243
gene_2523531	ErmT	2205	8817	1	1	1	4711	1	5111	1	1	1	1	1	1	1	1	1	18168	1	1	1	1	1	1	1	1	1	1	1	1	27943	3324	1	14921	1	1	1	1	10601	4539	11923	1	1	1	6773	1	1	3440	1	1	9215	1	1	1	1	1	1	1	1	1	1	12953	20385	11135	7070	1	1	1	32340	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6953	23932	1	26264	1	1	1	1
gene_2526286	vanI	1	2037	1	1	1	1	1	7083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2031	8680	1	1	1	5532	2304	8436	1	3574	1	1	1	14692	3145	8262	1	1	3636	1	1	1	1	6354	1	1	1	1	2235	1	1	1	1	7472	1	1	5984	1	7716	4899	9884	1	2101	2801	1	1	1	4301	1	1404	1	1	10720	4140	1	3074	1	2396	1	4818	2369	1	1	4884	1	1	1
gene_252818	vanI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2825	1	1	1	1	1	1	1	1	1	1	1	11126	38447	14310	2373	2530	1	2431	2903	14689	15837	1	1	1	1	1	1	1	7876	1
gene_2559878	tet(W/N/W)	22201	2573	42346	8269	9452	14434	5739	20134	7643	46259	5103	1	9500	1711	3358	19606	1	1	1	2700	1	1	1	1	1	2566	1	1	1	5464	33199	4365	15986	1	4515	4948	23591	1	1	1	1	1	7638	1	1482	12385	9077	1506	16054	7354	2017	2062	1	22591	1	1	7038	14141	12586	1	62302	56699	40154	35742	44875	18731	56482	49095	60163	4681	1	5907	2717	1	10644	9574	1	6771	2615	11383	44666	3276	1514	7322	1	4489	3585	1916	3085	10160	1756	1
gene_2565139	poxtA	1	1	1	1	1	3955	1	1	3665	1	1	1	1	1	6441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10170	18126	11410	43627	20776	23951	14943	5090	37335	13467	13731	1	15633	7139	8507	1	12181	19482	10031	3119	3725	6283	23226	7022	1	2870	1	7350	1	31180	3369	2934
gene_2565487	Mef(En2)	1	23380	74780	1	26429	5766	4011	1	101504	116406	1	1	1	1	1	1	1	1	1	37743	1	1	1	1	1	1	1	1	1	1	2443	54923	9932	1	31563	4612	549680	8239	178392	30554	2432	4898693	39154	3210	22794	1	4230	246301	22443	568862	1	1	43568	1	1	10876	9839	1	1	1	3261586	2060902	2634242	2546084	1988062	3084095	3485267	2697195	4054549	1334919	2211789	4130932	1830651	1904405	3267440	5376157	1857757	4087190	4406858	1866502	1761975	4554314	1819801	1865649	1442432	1420533	2521270	1850984	64692	1488529	2423486	2568091
gene_2570783	tet(W/N/W)	5899637	4175308	6818675	4698313	7516788	6673990	6942377	5468433	6671421	5729353	6611103	5014511	3007360	6348758	7281201	5906077	5971028	5875481	2763455	5621251	6901586	6153557	6412642	5262663	7370580	6950373	6246483	3113482	5207211	6779399	6558388	6195494	5476124	5552657	5669040	5762747	5597494	5922363	5786309	6760306	7162033	3999303	6137315	5618578	6473557	5481477	5540267	6260321	4778295	3740005	4679572	8168452	5797027	6308285	5563078	6412142	7651467	6951940	5695388	7310951	2677725	3365630	2784339	3032490	3036761	3924597	2547453	3243419	3850059	2881483	2997244	2786617	5141481	4074241	3111033	3331373	3475856	3715769	3011422	4195255	2686842	2500821	4755446	3431380	3980851	4240577	2804021	2516949	3946166	4675627	3599448	3951026
gene_2611095	aadA9	16274	1	4175	1	1	1	5375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5452	9982	1	12688	1	3683	1	4346	18610	1	1	1	1	2777	9280	2834	1	1	1	1	1	1	1	3513	1	1	3311	5894	1	4967	3541	1	6087	2899	1	1	4971	13260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2803	1	1	1	3807	1	1
gene_2611097	sul1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51683	1	1	1	1	1	1	1	1	29385	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76707	1	1	1	1	1	55903	1	24028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2637984	acrB	1	8407	1	1	1	1	1	1	1	1	1	1	15521	1	1	1	1	17323	1	1	21550	9558	1	1	1	1	1	1	1	17852	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19889	1	1	1	1	1	34433	1
gene_2638179	lnuA	133943	1	1	1	21861	7154	1	15522	1	1	1	13381	8240	1	5824	1	5868	55178	1	56196	1	10148	13877	1	1	1	1	1	14870	1	30308	20191	24647	37764	15665	5722	68201	81778	32195	68928	6035	14290	8833	23900	71990	34371	1	31343	1	1	1	7152	1	24491	19515	1	105805	18397	76407	12362	9197	19670	1	5636	16104	1	6757	23016	18416	24357	1	36888	9425	1	18462	11071	1	11746	1	5642	20211	1	1	6351	1	5191	12438	1	5351	14098	12186	1
gene_2641866	mdtA	109467	37284	53360	1	174693	20787	7231	239617	12038	128238	156469	150672	161615	19404	88854	5294	38366	310656	140064	61236	24933	119800	17642	173341	16411	35563	34546	1	126927	161792	1	1834	2238	1	5690	4157	7432	1	1	10015	2192	13841	3208	1	1	24969	1906	34154	10115	3089	287181	2598	1	5338	2363	6536	2956	2227	5947	15716	1	1	3748	2047	1950	1	2454	1672	4459	1	1	2978	1	4690	10059	1	2001	2133	1	2049	4894	6192	3815	78428	3835	39600	4518	2414	3887	1	6640	1927
gene_2641867	mdtB	96604	24760	17158	1	60642	15875	1	129173	7355	53419	104763	178170	82283	6586	25851	10782	13022	142859	51863	41569	31735	67563	23097	88253	8355	34566	10553	1	74247	52579	1	11202	1	1	1	1	1	1	1	7648	1	1	1	1	1	19069	5824	5796	1	1	108689	1	9997	1	1	9982	1	6804	6056	1	1	1	1	12507	1	1	1	5108	1	1	1	1	1	1	6829	1	1	1	1	6260	7475	1	29132	63419	1	28802	13801	1	11875	7822	1	1
gene_2659017	ugd	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12321	1	35252	1	1	1	1	1	1
gene_2668289	Escherichia coli ampC1 beta-lactamase	15281	5091	17642	1	12470	1	11356	8854	1	1	13464	30531	28200	1	13289	1	13389	62950	1	32055	13052	28944	39580	54444	1	15231	1	1	42410	32436	1	1	7030	1	1	1	15561	1	1	1	6885	10868	10077	9089	1	29409	1	41717	7942	1	47893	1	1	5588	1	10264	1	6996	1	1	1	1	1	1	1	1	1	1	7003	37050	1	1	10752	1	7021	1	1	1	1	6436	1	1	23962	94185	1	35536	14190	30333	12209	1	1	1
gene_2676715	vanRG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49931	1	1	1	1	15711	4682	21051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6176	1	1	1	1	1	13502	1	7738	1	1	1	3160	1	1	1	5627	1	1	1	1	1	8063	1	3873	1	1	1	1	1	3564	1	1	1	1	1	1
gene_2694921	APH(3')-IIIa	1	1	48176	89365	1157796	1	1	1	165202	49995	73535	166749	1	1	1	1	1	1	1	116714	1	1	1	1833633	1	1	88889	1	1	767654	1	31452	76785	1	1	1	1	63692	100299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85959	285965	32146	140469	33448	89971	294698	172088	114746	1	1	25538	1	1	57518	68982	1	36592	84782	1	1	35403	65435	39569	1	32347	77500	207084	1	1	75929	33061
gene_2700612	vanI	5241	5239	1	1	1	1	11685	1	2594	21979	2309	5236	1	1	1	1	1	1	1	1	1	1	1	12449	1	1741	3722	1	1	7417	14232	7901	36167	1	1	2239	8006	1	3149	1	2362	7456	3456	3117	1	6725	2054	1	1	1	1	1	1	1	1	1	1	1	1	2419	1799	7697	1	4411	1	1	1	1	1	1	1	3208	7376	1	1	1	1	1	1	4415	1	1	2055	1	8263	1	1	1	1	8275	4768	1
gene_2709486	evgA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2709487	evgS	10352	11038	2390	1	54069	1	1	9598	1	7442	14595	33095	101894	1835	27010	4506	12699	93824	46963	28956	19453	36081	23597	61474	2328	12383	1470	1	62062	32230	1	3121	1905	2335	2421	1769	12651	1	1	4262	7463	5891	2731	1	1	29222	1	38760	4304	1	54078	8844	11141	4543	20110	2781	1	15167	6749	3822	1	2027	6380	1	1660	1	1	4269	11387	10040	1	1267	8741	1	9513	6846	1	1816	2805	1	4166	3513	6494	106021	1	85065	3845	24660	11580	2179	16954	4921
gene_2714412	APH(3')-Ia	5983	2658	1	1	1	1	1	1	1	1	3515	1	1	1	1	1	1	49295	1	22313	3407	1	1	1	1	1	1	1	4428	1	18051	1	18349	4498	9330	1	8124	12176	1	1	1	17022	10521	9490	33689	10236	6252	6223	16585	1	1	12779	1	5835	30994	53582	48474	32870	13002	1	1	1	3073	10070	1	4300	1	10966	3656	1	1	2441	1	1	1833	1	3280	3498	2701	1	1	1	6255	3782	1	3092	1	3959	1	20992	10887	12641
gene_2717964	gadW	436053	211015	143835	1	415151	44359	15431	643682	35965	286096	361344	445993	268241	92017	171553	15063	59130	719957	398523	275869	79808	322513	48405	357574	46693	148330	92149	1	420695	550948	1	1	1	5854	1	1	10573	1	1	1	1	7384	6846	1	1	1	4068	20246	1	1	233203	16631	1	1	5042	13947	6309	4753	8461	14373	1	1	3999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4070	24612	16368	1	1	1	1	1	1	1
gene_2721030	tet(W/N/W)	10046	1	1	1	1	1	1	1	1	1	1	1	1	17807	1	43725	1	1	35055	1	1	15222	1	1	1	80106	42798	1	1	1	18185	1	18485	22658	1	1	61381	1	48292	1	36212	1	105992	23900	46280	1	31491	1	1	51022	1	1	27028	1	39029	1	48833	18397	1	18543	27592	19670	1	16908	32209	1	1	1	18416	1	74505	12296	1	1	18462	66427	1	17618	40821	33849	20211	1	1	19052	63352	46723	74630	1	1	21147	36558	31837
gene_2724055	Escherichia coli ampH beta-lactamase	166190	62687	72403	13431	230300	16747	9321	276167	18621	123976	160248	332051	65584	19454	89991	11374	63192	288489	235255	135941	40173	140170	22741	268127	17628	50008	33397	1	93989	288425	2838	2363	1	1	1	1	1	1	1	1	1	2230	1	3730	1	8046	1	2446	1	1	78623	1	4218	1	1	1	1	1	2555	2894	1	1	2416	1	1	1	1	1	1	1	1	1	17651	1	1441	1	1	1	1	1	1	1	1	5947	1	2431	1	1	1	3300	1	1
gene_274547	poxtA	810	2158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2292	83542	1221	13409	85831	39770	110681	32981	59319	15569	76664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2759771	SAT-4	821240	828420	634980	669618	528765	997918	884662	331784	469792	686043	962600	677416	1789026	1402307	1028725	2268250	1122272	1272547	854473	990447	2110730	2089288	1405093	1386926	1058903	2067728	679422	1	1714675	831625	429618	999467	512969	637266	810651	495663	951404	724500	869256	752173	882656	519798	785003	645307	1330536	870020	1635545	1433949	1135600	784470	716294	788500	1763580	2424629	1397735	2570759	1748828	2856080	1798968	1780151	408702	486822	580420	938410	827368	917834	1307429	813038	759661	968198	866117	894540	911844	1060388	1180443	1419885	563856	607832	699062	1110675	1280871	1125031	697061	814462	855248	683331	741636	725371	884928	1126102	829416	996890
gene_2759772	APH(3')-IIIa	1723623	1445969	1451083	1560688	1196090	1705511	1503017	882472	972507	1123285	1810915	1578763	3173339	2913775	1908450	3424434	2837542	2687282	1792979	2221528	4524909	3908448	2689295	3782837	2039232	3011671	1479689	877649	4172413	2201573	1145030	2268088	1352292	1468260	2192948	1143826	1876171	1468529	2307627	1752895	1988629	937639	1663073	1446462	2411076	1722968	2553951	2302479	1821452	1346414	1317399	1438429	3585448	2811738	2564884	4438311	3517627	3849968	3353038	2928432	854614	1098230	1141742	1567685	1394709	1809614	1962004	1046818	1362230	1449298	1169021	1310437	1342439	1405007	1713663	1766467	1104377	1217061	1314287	1834751	1795650	1295619	1566482	1362667	1329668	1377373	821212	1101220	1171090	1831450	1642639	1595926
gene_276465	poxtA	2986	1	6895	1	1	136088	2959	2307	281752	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6077	2392	4098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5847	1	1	1	2146	8034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
